meshcode	osm_length	overlap_length	overlap_length_max	accuracy	accuracy_max
47301783	803.420899245094	803.420899245094	803.420899245094	1	1
47301793	1124.01403355478	1124.01403355478	1124.01403355478	1	1
47302703	9.36142572039987	9.36142572039987	9.36142572039987	1	1
47302704	951.286127882292	951.286127882292	951.286127882292	1	1
47302714	980.610773565875	980.610773565875	980.610773565875	1	1
47302724	927.794186065402	627.183008459462	927.794186065402	0.675993682520501	1
47302734	931.192336758556	834.954771495086	931.192336758556	0.896651248657748	1
47302744	925.820490857008	925.820490857008	925.820490857008	1	1
47302754	989.097518024766	718.043751093115	989.097518024766	0.725958500560241	1
47302764	770.858811524526	584.652029519177	770.858811524526	0.758442429117353	1
47302765	412.161767459863	412.161767459863	412.161767459863	1	1
47302775	1068.95163209133	971.589085852281	1068.95163209133	0.908917725258943	1
47302785	852.224005113649	758.96930332842	852.224005113649	0.890574894363844	1
