city_code	pref_name	district_name	city_name	name	drm_length	osm_length	completeness	coverage
11208	埼玉県		所沢市	埼玉県所沢市	1273718.11362672	1084566.52101386	-189151.592612853	0.851495835628728
11209	埼玉県		飯能市	埼玉県飯能市	665992.659168819	650458.394205621	-15534.2649631978	0.976673554245867
11210	埼玉県		加須市	埼玉県加須市	1622019.63936823	1373531.83288338	-248487.80648485	0.846802931816185
11211	埼玉県		本庄市	埼玉県本庄市	933803.502952152	842928.66776469	-90874.8351874623	0.902682162165458
11212	埼玉県		東松山市	埼玉県東松山市	819420.173739935	717644.324563365	-101775.84917657	0.875794216163528
11214	埼玉県		春日部市	埼玉県春日部市	1134139.68161106	918347.709124518	-215791.972486546	0.809729977960046
11215	埼玉県		狭山市	埼玉県狭山市	781693.083049175	701018.573697725	-80674.5093514504	0.89679401302776
11216	埼玉県		羽生市	埼玉県羽生市	754762.140774936	544215.359712483	-210546.781062453	0.721041251635211
11217	埼玉県		鴻巣市	埼玉県鴻巣市	926506.838356533	829794.971387031	-96711.8669695013	0.895615705592892
11218	埼玉県		深谷市	埼玉県深谷市	1910841.53497901	1732255.31977674	-178586.215202273	0.906540067047317
11219	埼玉県		上尾市	埼玉県上尾市	934211.021003532	852201.652815116	-82009.3681884157	0.912214394222502
11221	埼玉県		草加市	埼玉県草加市	725460.205571638	642113.10362516	-83347.1019464785	0.885110187414084
11222	埼玉県		越谷市	埼玉県越谷市	1349384.36432013	1132517.73224901	-216866.632071126	0.839284137944988
11223	埼玉県		蕨市	埼玉県蕨市	159373.916276613	167468.263673975	8094.34739736276	1.05078181426816
11224	埼玉県		戸田市	埼玉県戸田市	350028.760255177	332038.811018385	-17989.9492367923	0.948601658259924
11225	埼玉県		入間市	埼玉県入間市	721904.603755298	668553.858522537	-53350.7452327614	0.926095953604973
11227	埼玉県		朝霞市	埼玉県朝霞市	323963.438537685	312765.996226996	-11197.4423106892	0.965433112469885
11228	埼玉県		志木市	埼玉県志木市	184285.254253502	166566.167597185	-17719.0866563168	0.903844772752604
11229	埼玉県		和光市	埼玉県和光市	198896.841758389	186994.172978791	-11902.6687795983	0.940151845417919
11230	埼玉県		新座市	埼玉県新座市	442249.070645758	376533.142768233	-65715.9278775249	0.851403239389951
11231	埼玉県		桶川市	埼玉県桶川市	470033.676715941	416839.253822391	-53194.4228935506	0.886826599124093
11232	埼玉県		久喜市	埼玉県久喜市	1201003.54460217	1109759.85794433	-91243.6866578409	0.924026360209931
11233	埼玉県		北本市	埼玉県北本市	312034.518031797	323382.599856882	11348.0818250851	1.03636471225025
11234	埼玉県		八潮市	埼玉県八潮市	387945.345174589	356332.205284269	-31613.1398903205	0.918508988978635
11235	埼玉県		富士見市	埼玉県富士見市	370112.656992133	338728.421101478	-31384.2358906549	0.915201086753408
11237	埼玉県		三郷市	埼玉県三郷市	635811.17774191	567618.171471463	-68193.0062704469	0.892745045380165
11238	埼玉県		蓮田市	埼玉県蓮田市	427489.66727058	447407.341562328	19917.6742917482	1.04658972889142
11239	埼玉県		坂戸市	埼玉県坂戸市	603238.606924501	565385.895370872	-37852.7115536288	0.937249293449715
11240	埼玉県		幸手市	埼玉県幸手市	554811.618242595	458585.968145644	-96225.6500969513	0.826560090861388
11241	埼玉県		鶴ヶ島市	埼玉県鶴ヶ島市	353383.952148779	345973.040591655	-7410.91155712336	0.979025955938263
11242	埼玉県		日高市	埼玉県日高市	443375.680850771	477643.603534812	34267.9226840417	1.07728625379731
11243	埼玉県		吉川市	埼玉県吉川市	441423.171045542	414234.197183307	-27188.9738622349	0.938403975935813
11245	埼玉県		ふじみ野市	埼玉県ふじみ野市	323878.98905278	324507.116650379	628.127597598999	1.00193629621711
11246	埼玉県		白岡市	埼玉県白岡市	353717.934761006	381109.146106643	27391.2113456368	1.07743495938136
11301	埼玉県	北足立郡	伊奈町	埼玉県北足立郡伊奈町	265680.603196594	231606.134233188	-34074.4689634063	0.871743212351095
